City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coahuayana de hidalgo,18.7,-103.6583,27.62,82,71,1.62,MX,1697381475
1,longyearbyen,78.2186,15.6401,-0.09,74,75,11.32,SJ,1697381476
2,karratha,-20.7377,116.8463,27.75,65,12,2.67,AU,1697381476
3,keflavik,64.0049,-22.5624,8.95,93,75,6.69,IS,1697381476
4,iqaluit,63.7506,-68.5145,-0.15,86,100,3.6,CA,1697381477
5,diyarbakir,37.9158,40.2189,22.99,33,75,2.57,TR,1697381477
6,linxia chengguanzhen,35.6003,103.2064,10.52,47,0,1.55,CN,1697381478
7,bethel,41.3712,-73.414,12.53,72,75,4.63,US,1697381479
8,bandon,51.7469,-8.7425,10.77,74,100,2.78,IE,1697381479
9,turkeli,41.9476,34.3386,18.9,71,99,0.95,TR,1697381479
10,atafu village,-8.5421,-172.5159,28.38,74,71,9.39,TK,1697381479
11,vorgashor,67.5833,63.95,-1.62,87,100,3.29,RU,1697381480
12,happy valley-goose bay,53.3168,-60.3315,9.17,87,100,9.77,CA,1697381480
13,talara,-4.5772,-81.2719,24.42,69,0,5.14,PE,1697381480
14,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1697381480
15,vilyuchinsk,52.9306,158.4028,7.18,90,100,0.58,RU,1697381480
16,blackmans bay,-43.0167,147.3167,7.07,82,90,2.36,AU,1697381481
17,edinburgh of the seven seas,-37.0676,-12.3116,14.64,95,100,16.94,SH,1697381481
18,dudinka,69.4058,86.1778,-3.51,87,43,4.47,RU,1697381481
19,krutinka,56.0055,71.5113,5.25,65,53,3.86,RU,1697381481
20,port-aux-francais,-49.35,70.2167,1.19,67,80,12.68,TF,1697381481
21,sherwood,34.8151,-92.2243,15.57,73,75,4.63,US,1697381481
22,bredasdorp,-34.5322,20.0403,18.56,72,0,6.94,ZA,1697381482
23,tazovsky,67.4667,78.7,1.32,99,100,1.61,RU,1697381482
24,hawaiian paradise park,19.5933,-154.9731,22.24,92,40,3.09,US,1697381482
